country,total,curriculum_laws,family_planning,sex_edu,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp,percent_urban_pop,med_age,human_devel_index,democ,autoc,polity,inequality_coef,youth_depend_ratio,gend_ineq_index,phc_expend,gov_expend,gdp_capita,reprod_health_expend,family_plann_expend,state_frag_index,pop_count,youth_literacy_rate,poverty_rate,school_enroll_girls,income_group,region
Uruguay,99,100,100,100,441084.083,35.8,79.6,NA,17,78.056,81.595,95.3,35.8,0.808,10,0,10,12.7,31.9,0.275,41.753528589999995,33.298549649999998,17120.23470479,NA,NA,2,3461734,98.8802719116211,0.4,127.675270080566,High income,Americas
Uzbekistan,NA,NA,67,NA,352105.7156,18.9,NA,1000,29,71.78041463414635,73.968,50.5,27.8,0.71,0,9,-9,NA,42.9,0.303,NA,27.308876039999994,1540.6711431599999,NA,NA,11,33580650,99.9999389648438,86.2,94.5530319213867,Lower middle income,Europe
Vietnam,54,0,52,50,441197.1039,30.1,75.7,1000,43,75.493,79.609,35.9,32.5,0.693,0,7,-7,16.2,33.3,0.314,NA,28.387434010000003,2342.2443118199999,NA,NA,7,96462106,98.4080963134766,6.8,NA,Lower middle income,Western Pacific
Yemen,63,0,100,0,694467.8714,67.2,33.5,200,164,66.181,67.885,36.6,20.2,0.463,-77,-77,-77,30.9,68.9,0.834,NA,NA,NA,NA,NA,21,29161922,NA,51.2,NA,Low income,Eastern Mediterranean
Zambia,91,100,78,100,651578.9719,135.0,49,19000,213,64.194,67.236,43.5,17.6,0.591,6,0,6,32.3,84.8,0.54,78.519340520000014,25.187610630000002,1513.2774517399998,606.22900000000004,37.523000000000003,12,17861030,92.0915679931641,75.4,NA,Lower middle income,Africa
Algeria,NA,NA,NA,NA,501108.2496,9.7,57.1,500,112,77.063,78.321,72.6,28.5,0.759,3,1,2,19.7,47.5,0.443,NA,39.166347499999993,4055.2440302400005,NA,NA,11,43053054,97.4265213012695,3.7,NA,Upper middle income,Africa
Argentina,NA,NA,NA,NA,470554.2493,54.4,81.3,1100,39,76.68158536585366,80.122,91.9,31.5,0.83,9,0,9,13.6,38.6,0.354,NA,41.173793790000005,14517.292881060002,NA,NA,3,44938712,99.5055236816406,3.1,NA,High income,Americas
Austria,NA,NA,NA,NA,497594.6574,6.7,65.7,NA,5,81.59146341463415,83.945,58.3,43.5,0.914,10,0,10,7.5,21.4,0.073,37.038768769999997,49.174644470000004,47514.258302499991,NA,NA,0,8877067,NA,0.4,98.0779876708984,High income,Europe
Azerbaijan,NA,NA,NA,NA,379163.5616,45.0,54.9,100,26,73.04170731707318,75.574,55.7,32.3,0.754,0,7,-7,9.3,33.2,0.321,NA,35.706851960000002,4146.3683510099991,NA,NA,10,10023318,99.9380493164063,NA,94.539436340332,Upper middle income,Europe
Bahamas,NA,NA,NA,NA,496099.4194,29.0,NA,NA,70,74.053,76.228,83,32.3,0.805,NA,NA,NA,NA,32,0.353,NA,22.455188750000001,30761.759505870003,NA,NA,NA,389482,NA,NA,71.6102066040039,High income,Americas
Bahrain,NA,NA,NA,NA,481415.0691,13.6,NA,NA,14,77.419,78.557,89.3,32.5,0.838,0,10,-10,NA,24.6,0.207,NA,32.410118099999998,23739.710180919999,NA,NA,9,1641172,99.6872024536133,NA,101.695991516113,High income,Eastern Mediterranean
Bhutan,NA,NA,NA,NA,552760.7293,28.4,65.6,NA,183,72.08,72.524,40.9,28.1,0.617,7,0,7,26.2,37.8,0.436,45.495147710000005,30.059534070000002,3037.35327491,653.13800000000003,110.17400000000001,6,763092,93.0906295776367,12.2,95.7101135253906,Lower middle income,South-East Asia
Bolivia,NA,NA,NA,NA,547847.012,71.0,66.5,200,155,71.771,74.78,69.4,25.6,0.703,7,0,7,24.1,50.3,0.446,NA,38.317813869999995,3418.73476656,NA,NA,11,11513100,99.399169921875,11.6,88.7582702636719,Lower middle income,Americas
Bosnia and Herzegovina,NA,NA,NA,NA,440611.6094,11.0,45.8,NA,10,77.545,79.991,48.2,43.1,0.769,-66,-66,-66,14.2,21.5,0.162,42.213817599999992,40.68077469,5155.513719210001,24.384,1.248,4,3301000,NA,0.7,NA,Upper middle income,Europe
Brazil,NA,NA,NA,NA,500259.9247,52.7,80.2,NA,60,76.084,79.736,86.6,33.5,0.761,8,0,8,23.8,30.6,0.386,NA,38.662174220000004,9810.4204876499989,NA,NA,6,211049527,99.2041702270508,9.1,NA,Upper middle income,Americas
Brunei,NA,NA,NA,NA,461008.8147,9.8,NA,NA,31,75.998,77.256,77.6,32.3,0.845,NA,NA,NA,NA,31.9,0.234,NA,36.571529390000009,28291.309243779997,NA,NA,NA,433285,99.7089385986328,NA,94.5994491577148,High income,Western Pacific
Bulgaria,NA,NA,NA,NA,450673.0006,38.2,NA,100,10,75.14341463414635,78.78,75,44.6,0.816,9,0,9,12.1,22.7,0.218,51.787288669999995,35.034465789999999,8198.4630622799996,NA,NA,2,6975761,NA,3.3,95.1864166259766,Upper middle income,Europe
Canada,NA,NA,NA,NA,499823.63,7.7,NA,NA,10,82.50699999999999,84.481,81.4,41.1,0.922,10,0,10,8.5,23.7,0.083,47.042263030000001,40.325599670000003,44973.531373249993,NA,NA,0,37589262,NA,0.5,114.747680664063,High income,Americas
Cape Verde,NA,NA,NA,NA,485207.7386,80.0,NA,100,58,73.166,76.384,65.7,27.6,0.651,10,0,10,NA,43.2,0.372,63.332878110000003,31.576913830000002,3244.4097431199998,1736.4159999999999,NA,5,549935,98.1113128662109,15.4,92.4976806640625,Lower middle income,Africa
Chile,NA,NA,NA,NA,460268.4188,26.4,76.3,1000,13,80.329,82.522,87.6,35.3,0.847,10,0,10,19.8,28.7,0.288,NA,25.36114693,15383.587702860003,NA,NA,3,18952038,99.008659362793,0.7,102.389381408691,High income,Americas
Comoros,NA,NA,NA,NA,570431.6542,70.3,19.4,100,273,64.525,66.341,29,20.4,0.538,0,3,-3,44.2,68.8,NA,NA,27.97494507,795.74691403999998,NA,NA,12,850886,78.270393371582,39.7,61.4145088195801,Low income,Africa
Croatia,NA,NA,NA,NA,439072.6072,9.1,NA,100,8,78.51734146341465,81.716,56.9,44.3,0.837,9,0,9,8.1,22.3,0.122,38.985668180000005,45.321022030000009,13287.993029470003,NA,NA,2,4067500,99.7236328125,1.1,102.458480834961,High income,Europe
Cuba,NA,NA,NA,NA,472030.2283,52.0,73.7,500,36,78.892,80.862,77,42.2,0.778,1,6,-5,NA,23.6,0.313,NA,65.983520510000019,8433.0926988000028,NA,NA,5,11333483,NA,NA,101.949157714844,Upper middle income,Americas
Cyprus,NA,NA,NA,NA,491792.4331,4.4,NA,NA,6,81.135,83.151,66.8,37.3,0.873,10,0,10,9.6,24.2,0.086,41.133563999999993,37.377536769999992,25905.847859950001,NA,NA,3,1198575,99.8209915161133,0.1,98.9669723510742,High income,Europe
Djibouti,NA,NA,NA,NA,519075.9747,21.0,19,100,248,67.49,69.766,77.8,26.6,0.495,3,0,3,35.2,44.9,NA,NA,38.343231200000005,2120.6244538400001,NA,NA,12,973560,NA,39.8,51.5313491821289,Lower middle income,Eastern Mediterranean
Dominican Republic,NA,NA,NA,NA,508220.2754,51.0,69.5,1000,95,74.257,77.549,81.1,28,0.745,8,1,7,21.4,43.1,0.453,41.268272400000008,18.097476960000002,7059.6590127399995,NA,NA,3,10738958,98.8394088745117,3.8,82.9858932495117,Upper middle income,Americas
Ecuador,NA,NA,NA,NA,543697.655,71.1,80.1,500,59,77.216,80.023,63.8,27.9,0.758,6,1,5,19.5,43.2,0.389,NA,36.58242035,6273.4971931800001,NA,NA,7,17373662,99.2550506591797,8.7,102.844116210938,Upper middle income,Americas
Eritrea,NA,NA,NA,NA,577784.1993,76.0,8.4,100,480,66.679,68.924,40.1,19.2,0.434,0,7,-7,NA,78,NA,NA,29.216739649999994,1146.7501928600002,NA,NA,15,NA,93.2723922729492,NA,45.3951187133789,Low income,Africa
Estonia,NA,NA,NA,NA,449512.6909,10.5,NA,NA,9,78.598756097561,82.83,68.9,42.4,0.882,9,0,9,7.1,25.6,0.091,44.773757930000002,39.270195010000009,20227.239490400003,NA,NA,0,1326590,NA,0.5,118.341636657715,High income,Europe
Ethiopia,NA,NA,NA,NA,551751.2785,79.5,40.1,4500,401,66.953,68.905,20.8,19.5,0.47,3,2,1,27.2,73.2,0.508,88.374565120000014,18.246820450000001,721.24310937999996,2061.1840000000002,976.70499999999993,20,112078730,72.7548217773438,70.5,NA,Low income,Africa
Fiji,NA,NA,NA,NA,559559.7703,23.1,NA,100,34,67.561,69.498,56.2,27.9,0.724,4,0,4,NA,45.4,0.357,62.056285860000003,32.373672490000004,5382.1210027600009,NA,NA,4,889953,99.7443389892578,7.5,NA,Upper middle income,Western Pacific
France,NA,NA,NA,NA,482972.697,8.6,78.4,NA,8,82.6576829268293,85.569,80.4,42.3,0.891,9,0,9,9.1,29,0.051,NA,56.38254929,38714.477417180002,NA,NA,1,67059887,NA,0,104.391021728516,High income,Europe
Ghana,NA,NA,NA,NA,556534.122,75.1,33,5600,308,64.347,65.477,56.1,21.5,0.596,8,0,8,28.1,63.4,0.541,73.064376829999986,18.002033230000002,2046.04028406,242.09399999999999,NA,11,30417856,92.490966796875,30.1,70.7866973876953,Lower middle income,Africa
Grenada,NA,NA,NA,NA,528040.5145,35.9,NA,NA,25,72.426,74.984,36.3,32,0.763,NA,NA,NA,NA,35.3,NA,NA,22.576404570000001,10452.46498527,NA,NA,NA,112003,99.1999969482422,NA,122.099891662598,Upper middle income,Americas
Guam,NA,NA,NA,NA,639472.6973,NA,NA,NA,NA,80.277,83.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,NA,NA,NA,NA,478815.7671,22.9,61.6,NA,12,76.83548780487806,80.427,71.4,43.3,0.845,10,0,10,7.8,21.7,0.258,41.964241029999997,46.929801939999997,14264.890851150001,NA,NA,0,9769949,98.8000030517578,1.2,103.680130004883,High income,Europe
Iceland,NA,NA,NA,NA,493252.3096,6.0,NA,NA,4,83.1028292682927,84.601,93.8,37.5,0.938,NA,NA,NA,5.6,30.3,0.057,35.517005920000003,43.288154599999999,73097.510520759999,NA,NA,NA,361313,NA,0,117.344856262207,High income,Europe
Indonesia,NA,NA,NA,NA,556878.7602,36.0,61,NA,177,71.908,74.173,55.3,29.7,0.707,9,0,9,17.4,39.3,0.451,NA,16.565217969999999,3846.4265508499993,NA,NA,8,270625568,99.7070770263672,24.6,90.0409393310547,Lower middle income,South-East Asia
Ireland,NA,NA,NA,NA,494791.4816,7.2,73.3,NA,5,82.42524390243902,84.053,63.2,38.2,0.942,10,0,10,7.3,33.1,0.093,NA,26.27241325,69273.336034389999,NA,NA,0,4941444,NA,0.4,165.307281494141,High income,Europe
Israel,NA,NA,NA,NA,510941.5471,9.9,NA,NA,3,83.03368292682929,84.622,92.4,30.5,0.906,7,1,6,10.2,46.5,0.1,NA,39.513092040000004,42452.129534560008,NA,NA,7,9053300,NA,0.7,106.49388885498,High income,Europe
Italy,NA,NA,NA,NA,471564.0484,4.4,65.1,500,2,83.5347804878049,85.665,70.4,47.3,0.883,10,0,10,11.8,20.9,0.069,NA,48.672687530000012,32127.233778840007,NA,NA,1,60297396,99.9300003051758,1.8,100.627792358398,High income,Europe
Jamaica,NA,NA,NA,NA,473115.2896,51.7,72.5,500,80,74.586,76.249,55.7,30.7,0.726,9,0,9,15.9,35.2,0.405,NA,29.096612930000003,5129.83716998,NA,NA,3,2948279,NA,NA,83.609489440918,Upper middle income,Americas
Jordan,NA,NA,NA,NA,432126.9864,27.0,51.8,NA,46,74.655,76.445,91,23.8,0.723,2,5,-3,14.6,55.3,0.469,47.143798829999994,29.353353500000004,4195.7298246,NA,NA,7,10101694,99.3437423706055,2,64.1552200317383,Upper middle income,Eastern Mediterranean
Kenya,NA,NA,NA,NA,618405.2515,96.0,60.5,14000,342,66.991,69.352,27,20.1,0.579,9,0,9,26.2,68.7,0.545,72.928916929999986,25.71463966,1595.2031480700002,33355.879999999997,14.494999999999999,10,52573973,87.8300018310547,66.5,NA,Lower middle income,Africa
Kiribati,NA,NA,NA,NA,590998.7184,49.0,22.3,NA,92,68.611,72.568,54.1,23,0.623,NA,NA,NA,NA,58.7,NA,NA,119.00827025999999,1593.4551940299998,NA,NA,NA,117606,NA,NA,NA,Lower middle income,Western Pacific
Kuwait,NA,NA,NA,NA,491406.7258,6.3,NA,NA,12,75.586,76.706,100,36.8,0.808,0,7,-7,NA,28.4,0.245,NA,51.835304260000008,28897.492038329998,NA,NA,4,4207083,99.0801315307617,NA,NA,High income,Eastern Mediterranean
Lebanon,NA,NA,NA,NA,518844.6495,13.3,54.5,100,29,79.004,80.934,88.6,29.6,0.73,6,0,6,NA,39,0.362,NA,30.361873630000002,8778.4715166000024,NA,NA,5,6855713,99.751823425293,0.1,NA,Upper middle income,Eastern Mediterranean
Lesotho,NA,NA,NA,NA,581786.6423,94.0,60.2,3700,544,54.836,58.087,28.2,24,0.518,9,1,8,32,52.4,0.546,NA,46.64358902,1193.0949527100001,NA,NA,10,2125268,86.6322021484375,50.3,NA,Lower middle income,Africa
Luxembourg,NA,NA,NA,NA,496520.1865,4.0,NA,NA,5,82.3558048780488,84.464,91,39.7,0.909,10,0,10,9.4,22.7,0.078,37.934677119999989,43.082691189999998,105501.72837664999,NA,NA,0,619896,NA,0.4,105.362327575684,High income,Europe
Macedonia,NA,NA,NA,NA,440393.2616,15.1,40.2,NA,7,75.918,77.968,58,39.1,0.759,9,0,9,12.9,23.7,0.145,NA,31.840902329999999,5417.5780367800016,NA,NA,2,2083459,98.5999984741211,9,79.1018981933594,Upper middle income,Europe
Madagascar,NA,NA,NA,NA,602905.02,152.0,47.9,1000,335,67.39,69.051,37.2,19.6,0.521,6,0,6,25.5,72.2,NA,NA,17.171474460000002,448.3945382,NA,NA,12,26969307,81.198371887207,90.9,37.063549041748,Low income,Africa
Micronesia,NA,NA,NA,NA,569249.7531,44.0,NA,NA,88,68.002,69.735,22.7,24.4,0.614,NA,NA,NA,NA,49.3,NA,NA,64.46281433,3439.3238838799998,NA,NA,NA,113815,NA,38.7,NA,Lower middle income,Western Pacific
Mongolia,NA,NA,NA,NA,402150.2304,32.6,54.6,100,45,70.056,74.326,68.4,28.2,0.735,10,0,10,13.6,46.4,0.322,NA,30.28472137,3717.4729923199993,NA,NA,7,3225167,98.629997253418,5.2,NA,Lower middle income,Western Pacific
Morocco,NA,NA,NA,NA,539781.5399,19.0,70.8,500,70,76.901,78.118,62.5,29.5,0.676,1,5,-4,NA,41.4,0.492,NA,30.049749370000001,3069.6797875500001,NA,NA,7,36471769,97.7300033569336,7.3,76.5811920166016,Lower middle income,Eastern Mediterranean
Nicaragua,NA,NA,NA,NA,521954.5927,92.0,80.4,100,98,74.697,78.185,58.5,26.5,0.651,7,1,6,22.7,46.8,0.455,NA,26.971504209999999,2221.7820228399996,NA,NA,7,6545502,91.57177734375,13.1,NA,Lower middle income,Americas
Norway,NA,NA,NA,NA,548801.4461,2.9,NA,NA,2,82.50882926829269,84.49,82.2,39.8,0.954,10,0,10,6.7,26.8,0.044,37.480075839999998,49.944786069999992,75972.765001680018,NA,NA,2,5347896,NA,0.3,114.707901000977,High income,Europe
Oman,NA,NA,NA,NA,500498.1937,11.7,29.7,100,19,78.078,80.534,84.5,30.6,0.834,0,8,-8,12,29.5,0.304,NA,44.639183039999999,15267.220629559999,NA,NA,5,4974986,98.6178283691406,NA,102.461303710938,High income,Eastern Mediterranean
Panama,NA,NA,NA,NA,566912.764,75.9,62.8,NA,52,78.68,81.901,67.7,29.7,0.795,9,0,9,20.3,41.7,0.46,NA,21.840280530000005,15196.456730090003,NA,NA,3,4246439,99.0990905761719,6.3,NA,High income,Americas
Papua New Guinea,NA,NA,NA,NA,587568.5123,68.0,NA,1000,145,64.725,66.058,13.2,22.4,0.543,5,0,5,NA,59,0.74,NA,20.340225220000001,2488.9011417799998,NA,NA,10,8776109,67.9000015258789,NA,NA,Lower middle income,Western Pacific
Paraguay,NA,NA,NA,NA,557678.3489,72.0,68.4,500,84,74.363,76.524,61.6,26.3,0.724,9,0,9,22,45.9,0.482,43.129783630000006,28.875822070000005,5727.0885741900001,NA,NA,8,7044636,98.2815170288086,5.2,NA,Upper middle income,Americas
Poland,NA,NA,NA,NA,442287.6111,11.1,62.3,NA,2,78.77963414634146,82.722,60.1,41.7,0.872,10,0,10,8,22.3,0.12,46.011066439999993,41.229839320000004,13861.610196529999,NA,NA,0,37970874,99.7968292236328,0.6,110.328437805176,High income,Europe
Portugal,NA,NA,NA,NA,470762.4182,8.0,73.9,NA,8,82.05212195121952,84.987,65.2,46.2,0.85,10,0,10,12.5,20.8,0.081,NA,45.667755130000003,21272.290285430001,NA,NA,0,10269417,99.6639175415039,0.7,120.573669433594,High income,Europe
Qatar,NA,NA,NA,NA,451603.637,8.5,37.5,NA,9,80.363,82.146,99.1,32.3,0.848,0,10,-10,NA,15.9,0.202,NA,33.452598569999999,63249.524789000003,NA,NA,3,2832067,94.6441116333008,NA,NA,High income,Eastern Mediterranean
Rwanda,NA,NA,NA,NA,572587.1319,41.0,53.2,1500,248,69.329,71.456,17.2,20,0.536,0,3,-3,28.4,70,0.412,NA,25.39889526,748.74409981999975,NA,NA,15,12626950,86.4927673339844,80.3,43.2754592895508,Low income,Africa
Samoa,NA,NA,NA,NA,582774.0567,39.2,26.9,NA,43,73.45,75.606,18.2,21.8,0.707,NA,NA,NA,NA,67.4,0.364,50.378166199999995,35.302391049999997,4250.8513804000004,8.1020000000000003,NA,NA,197097,99.1234817504883,9.6,NA,Upper middle income,Western Pacific
Seychelles,NA,NA,NA,NA,477545.4394,68.3,NA,NA,53,73.63231707317075,77.462,56.7,34.2,0.801,NA,NA,NA,NA,34.4,NA,58.637725830000001,36.069263460000002,15811.83507341,149.40100000000001,15.819999999999999,NA,97625,99.0699996948242,3.1,84.1952667236328,High income,Africa
Singapore,NA,NA,NA,NA,445979.5578,2.5,NA,100,8,83.72865853658539,85.864,100,42.2,0.935,2,4,-2,12.8,16.1,0.065,NA,17.029733659999998,58974.927480430008,NA,NA,3,5703569,99.9296264648438,NA,105.323432922363,High income,Western Pacific
Slovakia,NA,NA,NA,NA,454088.9291,26.8,NA,NA,5,77.55446341463416,81.084,53.7,41.2,0.857,10,0,10,6.1,22.4,0.19,47.827976230000004,40.196048739999995,17591.845746160001,NA,NA,1,5454073,NA,1.8,91.9142913818359,High income,Europe
Solomon Islands,NA,NA,NA,NA,599227.6981,78.0,29.3,NA,104,73.132,75.014,23.7,19.9,0.557,9,1,8,NA,71.7,NA,NA,46.525909419999998,2160.9735536799999,NA,NA,9,669823,NA,58.8,NA,Lower middle income,Western Pacific
South Korea,NA,NA,NA,NA,438428.3153,1.0,79.6,NA,11,83.04102439024392,86.106,81.5,43.7,0.906,8,0,8,13.9,17.9,0.058,56.679313660000005,32.521812439999998,30025.195743009994,NA,NA,0,51709098,NA,0.5,98.1410827636719,High income,Western Pacific
Spain,NA,NA,NA,NA,474399.8054,7.1,70.9,1000,4,83.6009756097561,86.374,80.3,44.9,0.893,10,0,10,14,22.2,0.074,41.406135560000003,40.994445800000008,28247.810138730001,NA,NA,1,47076781,99.7155532836914,1.1,127.382331848145,High income,Europe
Swaziland,NA,NA,NA,NA,570900.0651,NA,66.1,2000,437,60.721,65.411,23.8,20.7,0.608,0,9,-9,29,65.9,0.579,50.26979446,35.097602839999993,3242.7779027699999,60.073999999999998,NA,7,1148130,95.469367980957,52.1,NA,Lower middle income,Africa
Tajikistan,NA,NA,NA,NA,368932.1125,54.3,29.3,500,17,71.301,73.599,27.1,22.4,0.656,1,4,-3,12.4,61.1,0.377,46.720954899999995,35.632560730000009,800.95909784999992,245.93699999999998,22.369999999999997,11,9321018,99.9000015258789,17.8,NA,Low income,Europe
Thailand,NA,NA,NA,NA,453795.884,37.8,78.4,2700,37,77.344,81.062,49.9,40.1,0.765,0,3,-3,16.7,24.1,0.377,NA,18.976535800000001,6594.60835675,NA,NA,8,69625582,98.1371688842773,0.4,116.513488769531,Upper middle income,South-East Asia
Timor-Leste,NA,NA,NA,NA,519984.5593,41.9,26.1,100,142,69.712,71.869,30.6,20.8,0.626,9,1,8,26.7,65.2,NA,73.064857479999972,49.388046259999996,2143.0042636400003,NA,NA,7,1293119,83.5390319824219,65.9,87.0253524780273,Lower middle income,South-East Asia
Tonga,NA,NA,NA,NA,571485.0978,30.0,34.1,NA,52,71.018,73.019,23.1,22.4,0.717,NA,NA,NA,NA,60.4,0.418,41.298748020000005,41.63346481,4213.3681913199998,NA,NA,NA,104494,99.4411163330078,7.5,NA,Upper middle income,Western Pacific
Turkmenistan,NA,NA,NA,NA,370364.3443,28.0,50.2,NA,7,68.313,71.852,51.6,26.9,0.71,0,8,-8,17.9,47.6,NA,NA,17.729129789999998,6586.6258626899998,NA,NA,8,5942089,99.8000030517578,NA,NA,Upper middle income,Europe
Uganda,NA,NA,NA,NA,672912.6402,131.5,41.8,20000,375,63.713,66.001,23.8,16.7,0.528,1,2,-1,26.7,91.8,0.531,58.991664890000003,18.916156769999997,621.00770149999994,155598.48599999998,16957.488999999998,14,44269594,89.3963088989258,69.8,NA,Low income,Africa
United Arab Emirates,NA,NA,NA,NA,466542.7709,5.4,NA,NA,3,78.12,79.458,86.5,32.6,0.866,0,8,-8,NA,17.3,0.113,NA,30.413946149999997,40698.937345270002,NA,NA,5,9770529,99.4300003051758,NA,NA,High income,Eastern Mediterranean
United States,NA,NA,NA,NA,503023.3179,18.8,75.9,NA,19,78.85158536585368,81.452,82.3,38.3,0.92,8,0,8,12.8,28.6,0.182,NA,37.950851439999994,60054.959777830009,NA,NA,4,328239523,NA,1.2,98.7960586547852,High income,Americas
Vanuatu,NA,NA,NA,NA,570533.8014,51.2,49,NA,72,70.623,72.322,25.3,21.1,0.597,NA,NA,NA,17.1,67.5,NA,NA,38.4752388,3185.7462905100001,NA,NA,NA,299882,96.2821197509766,39.4,NA,Lower middle income,Western Pacific
Venezuela,NA,NA,NA,NA,595032.9264,94.5,75,1900,125,72.066,76,88.2,29.6,0.726,1,4,-3,17,42.5,0.458,NA,13.733906749999999,7977.3591541200003,NA,NA,14,28515829,98.7595062255859,18.1,NA,Upper middle income,Americas
Zimbabwe,NA,NA,NA,NA,588820.5284,77.6,66.8,13000,458,61.738,63.164,32.2,18.7,0.563,5,1,4,22.7,77.6,0.525,NA,22.483417509999995,1659.9007471500001,NA,NA,17,14645468,NA,61,NA,Low income,Africa
